event_id	applicable_state	physical_event	rev35_or_rev37_producer_and_polarity	rev38_required_capture_or_producer	physical_clear_and_inhibit	guaranteed_capture_minimum	maximum_fault_to_current_cessation	evidence_status
INTERLOCK_LOSS	Preparing|Ready|StartPending|Running	System interlock permission lost	Rev35 source.INTERLOCK_PERMIT low feeds SOURCE_HEALTH	Source latch must clear; resulting physical PERMIT loss must clear HOT RUN and invalidate seen-high session	Source latch /CLR plus HOT clear/EN low	Producer and pulse guarantee UNSET	UNSET hazard-derived limit	Rev38 source low-default interlock input joins health/latch clear; external interlock producer absent
HOT_PERMIT_LOSS_BEFORE_HIGH	Preparing|Ready	HOT PERMIT is normally low before first qualified high	Rev35 permit_safe low clears RUN; Rev37 models before-seen state	No session-invalidating loss trip from this normal low; receiver may prepare only with physical disarm proof	HOT RUN held low; no automatic HOT_SESSION_OK clear solely for normal low	Physical-low observation and reset ordering UNSET	Not a fault response	Rev38 HOT permit-seen memory and receiver disarm sequencing compiled; pulse/setup corners unqualified
HOT_PERMIT_LOSS_AFTER_HIGH	StartPending|Running	HOT PERMIT conductor opens or returns low after seen high	Rev35 permit_safe low clears RUN; Rev37 returns physical HOT PERMIT but capture unproved	Retained PERMIT_SEEN_IN_SESSION and source readback-seen both capture qualified high-then-low loss	HOT RUN and HOT_SESSION_OK clear; source permit latch /CLR; EN low	Low-pulse capture at both memories UNSET	UNSET hazard-derived limit	Rev38 HOT and source permit-seen memories plus clear joins compiled; pulse priority and physical response unqualified
SOURCE_READBACK_LOSS	StartPending|Running	Source sees physical HOT PERMIT readback fall after seen high	Rev37 source readback and seen latch proposed	Source hardware capture must persist after readback recovers	Source permit latch /CLR; HOT clears on actual physical loss	Source latch /CLR low width and isolator propagation UNSET	UNSET hazard-derived limit	Rev38 source readback-seen memory joins permit latch clear; isolator/pulse priority unqualified
HOT_FAULT_DURING_PREP	Preparing	New qualified external trip while HOT_SESSION_OK already low	Rev35 faults clear RUN; Rev37 short-trip model exposes restart gap	Independent preparation-abort memory captures new event and invalidates pending identifier	Keep both HOT latches low and EN off; require new challenge and ACK	Selected detector and abort-memory pulse minima UNSET	UNSET hazard-derived limit	Rev38 prep-abort memory and VD/VB/AUX/watchdog/rail producers join trip fan-in; pulse priority unqualified
REVALIDATION_RACE	Preparing	Trip coincides with or follows held revalidation request	No Rev35 single-use revalidation proof	Fault-dominant clear and consumed one-shot clock; held request cannot clock after eligibility returns	HOT_SESSION_OK remains low; RUN low; EN off	Clear-to-clock/recovery/setup/hold corner UNSET	UNSET hazard-derived limit	Rev38 raw revalidation clock and clear qualification compiled; coincident clear/clock and setup/hold unqualified
RECEIVER_STOP_READY	Ready	Accepted STOP before PERMIT ever high	Rev35 receiver firmware and abort output absent	Receiver asserts default-low RECEIVER_ABORT_N; low PERMIT is not credited	HOT_SESSION_OK and HOT_RUN physical /CLR; EN low	Abort-output low width and reset/default state UNSET	UNSET response limit	Rev38 receiver core requests abort and hardware pin joins both clears; AVR adapter/physical pin timing absent
RECEIVER_STOP_RUNNING	Running	Accepted STOP while RUN and PERMIT high	Rev35 receiver firmware and abort output absent	Receiver asserts RECEIVER_ABORT_N independently of later protocol traffic	HOT_SESSION_OK and HOT_RUN physical /CLR; EN low; source permit drops	Abort-output low width and command-to-pin maximum UNSET	UNSET hazard-derived limit	Rev38 receiver core requests abort and hardware pin joins both clears; AVR adapter/physical pin timing absent
RECEIVER_RESET	Ready|StartPending|Running	HOT MCU resets or loses power while HOT latches stay powered	Rev35 reset supervisor resets MCU; no receiver abort clear of RUN	Local pull/device default asserts RECEIVER_ABORT_N during reset and high impedance	HOT_SESSION_OK and HOT_RUN physical /CLR; EN low; source permit drops via feedback	Reset-to-abort and clear width UNSET	UNSET hazard-derived limit	Rev38 default-low receiver abort pin joins both clears; AVR boot/pin-state and clear duration unqualified
RECEIVER_EXECUTION_LOSS	Preparing|Ready|StartPending|Running	Receiver stops making qualifying progress	Rev35 HOT TPS3431 WDO/ENOUT low on timeout when enabled; feed semantics absent	State-owned WDI and link progress; timeout must reach retained clear and be enabled in relied-on states	HOT_SESSION_OK and HOT_RUN clear; EN low	CWD tolerance/post-failure feed and clear width UNSET	UNSET hazard-derived limit	Rev38 HOT TPS3431 WDI/WDO join retained trip fan-in; AVR WDI pin owner/timing absent
SOURCE_EXECUTION_LOSS	Preparing|Ready|StartPending|Running	ESP stops making qualifying progress without reset	Rev35 source TPS3431 WDO/ENOUT low on WDI timeout	State-owned WDI with no autonomous pulses; physical WDO low captured	Source permit latch /CLR; HOT clears after physical PERMIT loss	Ideal 1 nF: 119.82–144.98 ms device only; complete maximum UNSET	UNSET hazard-derived limit	Rev38 SELV TPS3431 WDI/WDO join source health and permit clear; ESP WDI owner/timing absent
ESP_CPU_RESET_RUNNING	Running	Unexpected ESP CPU-only reset with retained GPIO and RUN already high	Rev32/35 SOURCE_RESET_GOOD GPIO may remain high; source watchdog may eventually time out	Bounded-reset candidate: no post-reset WDI extension; one reset-to-off deadline from execution loss	Source permit latch /CLR; HOT clear after physical loss; EN low	Post-reset feed tail and full path UNSET	UNSET independent allowable RUN time and implementation maximum	Candidate behavior selected; numerical safety acceptance OPEN
ESP_CPU_RESET_FIRST_START	StartPending	Unexpected ESP CPU-only reset after one authorized unexpired START was committed to transmission	No independent internal-reset indication in Rev32/35	At most one RUN-set while session/deadline/hardware permission remain valid; reboot cannot generate or retransmit START	Same source watchdog deadline clears permit and HOT RUN; no new watchdog interval from START	Queue-to-pin and watchdog path UNSET	UNSET independent allowable first-start time and implementation maximum	Candidate behavior selected; numerical safety acceptance OPEN
SOURCE_HEALTH_LOSS	Preparing|Ready|StartPending|Running	Source reset-good or other source health input falls	Rev35 SOURCE_RESET_GOOD and SOURCE_HEALTH low clear source latch when actually low	Physical low producer with defined capture; CPU-only reset is not assumed to make it low	Source latch /CLR and HOT clear after physical PERMIT loss	Producer pulse and source /CLR width UNSET	UNSET hazard-derived limit	Rev38 source health chain/latch clear compiled; external reset-good producer absent
PROTOCOL_ABORT	Preparing|Ready|StartPending|Running	Invalidating decoder error or explicit receiver abort	Rev13 behavioral model only; Rev35 decoder absent	Receiver asserts RECEIVER_ABORT_N regardless of PERMIT level	Both HOT latches /CLR; EN low; source permit drops	Decoder-to-pin maximum and /CLR low width UNSET	UNSET response limit	Rev38 receiver core requests abort and pin path joins both retained clears; target adapter absent
PREPARATION_TIMEOUT	Preparing	Receiver monotonic preparation deadline expires	Rev13 model only; no Rev35 receiver firmware	Receiver invalidates identifier and asserts abort	Both HOT latches /CLR; EN low; source PERMIT remains low	Receiver timer accuracy and scheduling bound UNSET	UNSET deadline from communication/hazard envelope	Rev38 receiver core deadline abort host-tested; target monotonic timer/physical pin adapter absent
START_TIMEOUT	StartPending	Matching START arrives after receiver-owned fixed deadline	Rev13 model only; no Rev35 receiver firmware	Receiver rejects stale frame; source independently drops PERMIT on failed transaction	RUN never sets; both HOT latches clear; EN low	Queue-to-pin and monotonic timer bounds UNSET	UNSET deadline from communication/hazard envelope	Rev38 receiver core rejects expired START at RUN-set point; ESP source transaction timeout not implemented
LINK_LOSS	Preparing|Ready|StartPending|Running	Fresh bidirectional link progress absent	Rev35 HOT retained link-good bit but no full protocol/liveness implementation	State-specific numbered traffic and local execution evidence; missing traffic trips receiver abort or watchdog	HOT latches clear; EN low; source permit clears on feedback or own timeout	Detection interval and output pulse UNSET	UNSET hazard-derived limit	Rev38 receiver numbered progress and HOT watchdog candidate host-tested/compiled; full bidirectional source driver absent
ISOLATOR_PARTIAL_POWER	Boot|Preparing|Ready|StartPending|Running	One side of command or feedback isolation loses supply	Rev35 single ISO7741F join; Rev37 partial feedback; default behavior incomplete	Every required channel has defined off/default state and returned invalidity semantics	Source permit and HOT RUN/session clear or remain invalid; EN low	Selected isolator supply and propagation corners UNSET	UNSET hazard-derived limit	Rev38 two ISO774xF devices and eight channel pin assignments compiled; partial-power electrical behavior unqualified
DRIVER_WITHOUT_LOGIC	Boot|Preparing|Ready|StartPending|Running	UCC27624 VDD present while HOT logic supply absent	Rev35 uses different UCC27511A disable network	Local UCC27624 EN pulldown/driver sized at worst leakage and threshold corners	ENA low and loaded STW gate off regardless of MCU/logic high impedance	EN and gate corner bound UNSET	UNSET hazard-derived limit	Rev38 UCC27624 AUX-biased ENA shunt compiled; intermediate-rail, leakage and loaded gate OFF proof open
